"","REGION","STATEFIP","METRO","OWNERSHP","RENT","FOODSTMP","VEHICLES","FAMSIZE","NCHILD","SEX","AGE","MARST","MARRNO","RACE","CITIZEN","SPEAKENG","HCOVANY","EDUC","GRADEATT","EMPSTAT","UHRSWORK","INCTOT","FTOTINC","INCWELFR","POVERTY","VETDISAB","DIFFREM","VETSTAT","UTILITIES","HHINCOME"
"87","1",17,"0",2,1200,"0",1,"1",0,"0",26,"0",0,"1","0","1","0",7,6,"1",96,20000,20000,0,"1","0",1,2,5358.5,NA
"88","1",17,"0",1,0,"0",2,"7",0,"0",19,"0",0,"8","0","1","0",6,6,"2",20,1700,105900,0,"1","0",1,1,3818.25,NA
"89","1",17,"0",1,0,"0",3,"3",0,"0",21,"0",0,"1","0","1","0",7,6,"0",20,2800,121800,0,"1","0",1,1,7944.75,NA
"90","1",17,"0",0,0,"0",0,"1",0,"0",22,"0",0,"1","0","1","0",7,6,"1",5,650,0,0,"0","0",1,1,0,NA
"91","1",17,"0",1,0,"0",3,"3",0,"0",19,"0",0,"1","0","1","0",7,6,"1",18,800,67300,0,"1","0",1,1,3008.25,NA
"92","1",17,"0",1,0,"0",3,"4",2,"0",46,"0",1,"1","0","1","0",6,6,"1",80,25000,25000,0,"1","0",1,1,5956.5,NA
"93","1",17,"0",1,0,"0",3,"4",2,"0",39,"0",1,"1","0","1","0",6,6,"0",0,0,25000,0,"1","0",1,1,5956.5,NA
"94","1",17,"0",1,0,"0",2,"3",1,"0",58,"0",1,"1","0","1","0",11,7,"1",40,9000,9100,0,"0","0",1,1,3010.75,NA
"95","1",17,"0",0,0,"0",0,"1",0,"0",20,"0",0,"1","0","1","0",7,6,"1",25,5200,0,0,"0","0",1,1,0,NA
"96","1",17,"0",1,0,"0",1,"2",0,"0",18,"0",0,"2","0","1","0",5,5,"0",0,0,39400,0,"1","0",1,1,5567.5,NA
"97","1",17,"0",0,0,"0",0,"1",0,"0",19,"0",0,"1","0","1","0",6,6,"0",12,2000,0,0,"0","0",1,1,0,NA
"98","1",17,"0",2,1400,"0",3,"1",0,"0",21,"0",0,"1","0","1","0",7,6,"1",25,8000,8000,0,"0","0",1,1,7735.75,NA
"99","1",17,"0",2,1400,"0",3,"1",0,"0",21,"0",0,"2","0","1","0",7,6,"1",15,4000,4000,0,"0","0",1,1,7735.75,NA
"100","1",17,"0",2,1400,"0",3,"1",0,"0",21,"0",0,"2","0","1","0",7,6,"1",10,1000,1000,0,"0","0",1,1,7735.75,NA
"101","1",17,"0",2,1400,"0",3,"1",0,"0",22,"0",0,"1","0","1","0",7,6,"1",8,2000,2000,0,"0","0",1,1,7735.75,NA
"102","1",17,"0",1,0,"0",2,"6",4,"0",39,"0",1,"8","0","1","0",10,7,"1",4,3200,58200,0,"1","0",1,1,3448.25,NA
"103","1",17,"0",0,0,"0",0,"1",0,"0",21,"0",0,"1","0","1","0",7,6,"1",22,10400,0,0,"0","0",1,1,0,NA
"104","1",17,"0",1,0,"0",5,"5",0,"0",21,"0",0,"1","0","1","0",6,6,"1",27,6100,84600,0,"1","0",1,1,3300.75,NA
"105","1",17,"0",1,0,"0",5,"5",0,"0",18,"0",0,"1","0","1","0",6,5,"1",8,1700,84600,0,"1","0",1,1,3300.75,NA
"106","1",17,"0",0,0,"0",0,"1",0,"0",30,"0",0,"1","0","1","0",6,6,"0",45,32000,0,0,"0","0",1,1,0,NA
"107","1",17,"0",2,1600,"0",0,"1",0,"0",20,"0",0,"1","0","1","0",7,6,"2",0,0,0,0,"0","0",1,1,5597.5,NA
"108","1",17,"0",2,1600,"0",0,"1",0,"0",21,"0",0,"1","0","1","0",6,6,"0",25,2500,2500,0,"0","0",1,1,5597.5,NA
"109","1",17,"0",2,1600,"0",0,"1",0,"0",21,"0",0,"1","0","1","0",7,6,"0",23,3000,3000,0,"0","0",1,1,5597.5,NA
"110","1",17,"0",1,0,"0",4,"3",0,"0",18,"0",0,"1","0","1","0",6,6,"2",0,0,133000,0,"1","0",1,1,7396.5,NA
"111","1",17,"0",1,0,"0",3,"1",0,"0",24,"0",0,"1","0","1","0",10,6,"1",55,36700,36700,0,"1","0",1,1,3168.25,NA
"112","1",17,"0",1,0,"0",3,"3",0,"0",23,"0",0,"1","0","1","0",7,6,"1",25,10400,119300,0,"1","0",1,1,1105,NA
"113","1",17,"0",1,0,"0",4,"5",0,"0",20,"0",0,"1","0","1","0",7,6,"1",25,12000,98000,0,"1","0",1,1,3023.25,NA
"114","1",17,"0",1,0,"0",2,"4",2,"0",36,"0",1,"1","0","1","0",8,6,"1",25,10000,84000,0,"1","0",1,1,3278.25,NA
"115","1",18,"0",1,0,"0",1,"2",0,"0",18,"0",0,"1","0","1","0",5,5,"0",4,12500,29800,0,"1","0",1,1,2838.25,NA
"116","1",18,"0",0,0,"0",0,"1",0,"0",19,"0",0,"1","0","1","0",6,6,"1",18,5300,0,0,"0","0",1,1,0,NA
