REGION,STATEFIP,METRO,OWNERSHP,RENT,FOODSTMP,VEHICLES,FAMSIZE,NCHILD,SEX,AGE,MARST,MARRNO,RACE,CITIZEN,SPEAKENG,HCOVANY,EDUC,GRADEATT,EMPSTAT,UHRSWORK,INCTOT,FTOTINC,INCWELFR,POVERTY,VETDISAB,DIFFREM,VETSTAT,UTILITIES
3,6,1,1,0,0,4,4,0,0,21,2,0,7,0,4,0,7,6,0,0,0,55200,0,236,0,1,1,2943.25
3,6,1,2,1100,0,1,1,0,0,29,2,0,2,0,5,0,11,7,0,0,0,0,0,1,0,1,1,5117.5
3,6,1,2,1100,0,1,1,0,1,27,2,0,2,0,4,1,10,6,1,15,27000,27000,0,235,0,1,1,5117.5
3,6,1,2,790,0,1,4,0,1,18,2,0,7,0,4,1,6,5,0,0,0,43000,0,188,0,1,1,5237.5
3,6,1,2,2100,1,2,4,0,0,29,2,0,3,2,6,1,8,6,1,10,10000,44400,0,191,0,1,1,3998.25
3,6,1,2,850,0,0,1,0,1,19,2,0,8,2,4,1,7,6,1,25,10000,10000,0,87,0,1,1,9993
3,6,1,2,360,1,1,3,0,1,19,2,0,6,0,4,1,6,6,1,20,8100,21100,0,117,0,1,1,5387.5
3,6,1,2,1300,0,4,4,0,1,19,2,0,6,0,4,1,8,6,1,15,900,102600,0,442,0,1,1,2828.25
3,6,1,1,0,0,2,2,0,1,22,2,0,1,0,4,1,10,6,1,20,8400,93450,0,501,0,1,1,3113.25
3,6,1,2,2400,0,2,1,0,1,28,2,0,4,0,4,1,11,7,1,40,63000,63000,0,501,0,1,1,5161.25
3,6,1,1,0,0,2,1,0,0,44,2,0,1,0,3,1,7,6,1,42,90000,90000,0,501,0,1,1,3938.25
3,6,1,2,1500,0,2,5,3,1,31,0,1,0,0,3,1,7,6,0,8,1500,59500,0,227,0,1,1,5357.5
3,6,1,1,0,0,2,2,0,1,50,1,1,1,0,3,1,8,6,1,30,34500,63700,0,473,0,1,1,3333.25
3,6,1,1,0,0,3,3,0,0,19,2,0,8,0,4,1,7,6,0,0,0,126000,0,501,0,1,1,5386.25
3,6,1,0,0,0,0,1,0,0,18,2,0,7,0,4,0,6,6,0,0,0,0,0,0,0,1,1,0
3,6,1,1,0,0,4,2,0,1,32,0,1,1,0,3,1,8,6,1,40,90000,190000,0,501,0,1,1,3248.25
3,6,1,1,0,0,3,3,0,1,18,2,0,1,0,3,1,7,6,2,0,0,91000,0,501,0,1,1,2875.75
3,6,1,1,0,0,2,4,0,0,18,2,0,7,0,3,1,5,5,0,0,0,16800,0,73,0,1,1,3608.25
3,6,1,2,1700,1,0,1,0,0,33,2,0,1,0,3,1,10,7,1,40,33500,33500,0,292,0,1,1,3289.25
3,6,1,0,0,0,0,1,0,0,19,2,0,4,2,4,1,7,6,0,0,0,0,0,0,0,1,1,0
3,6,1,2,1600,0,2,2,0,0,34,0,1,6,2,5,1,10,6,1,45,49000,159000,0,501,0,1,1,2713.25
3,6,1,2,1500,0,2,2,1,1,34,0,1,1,2,4,1,6,6,1,24,22000,22000,0,146,0,1,1,2828.25
3,6,1,2,2000,0,3,2,0,1,33,2,0,2,0,3,0,11,7,2,15,8000,68000,0,456,0,1,1,7735.75
3,6,1,1,0,0,3,4,0,0,20,2,0,1,0,3,1,7,6,1,40,19000,142400,0,501,0,1,1,6766.25
3,6,1,2,1000,0,2,5,0,1,19,2,0,7,0,4,0,7,6,1,30,1600,40600,0,144,0,1,1,5117.5
3,6,1,1,0,0,5,4,2,0,34,0,1,1,0,3,1,10,7,1,20,20000,82000,0,370,0,1,1,4498.25
3,6,1,1,0,0,4,3,0,1,23,2,0,1,0,3,1,7,6,0,0,0,413000,0,501,0,1,1,4238.25
3,6,1,0,0,0,0,1,0,0,30,2,0,1,0,3,1,5,5,0,0,0,0,0,0,0,1,1,0
3,6,1,1,0,0,4,5,0,1,23,2,0,5,0,3,1,7,6,1,20,8600,119800,0,428,0,1,1,3345.75
3,6,1,1,0,0,4,5,0,0,20,2,0,5,0,3,0,7,6,1,28,11200,119800,0,428,0,1,1,3345.75
3,6,1,1,0,1,2,4,0,1,19,2,0,7,0,5,1,6,6,0,0,0,12280,0,53,0,1,1,2993.25
3,6,1,0,0,0,0,1,0,1,20,2,0,1,0,3,0,7,6,1,24,5000,0,0,0,0,1,1,0
3,6,1,1,0,0,4,4,2,1,20,2,0,1,2,4,1,7,6,0,20,600,90600,0,406,0,1,1,3213.25
3,6,1,2,3400,0,2,5,3,0,51,0,2,1,0,3,1,8,6,1,56,190000,280000,0,501,0,1,1,2938.25
3,6,1,2,3400,0,2,5,3,1,45,0,2,1,0,4,1,10,7,1,60,90000,280000,0,501,0,1,1,2938.25
3,6,1,2,1200,0,2,3,1,0,56,0,1,1,0,5,0,10,6,0,20,20000,40000,0,231,0,1,1,5147.5
3,6,1,2,1200,0,2,3,0,1,24,2,0,1,0,4,0,8,6,0,0,0,40000,0,231,0,1,1,5147.5
3,6,1,0,0,0,0,1,0,1,19,2,0,1,0,3,1,7,6,0,0,1200,0,0,0,0,1,1,0
3,6,1,1,0,0,3,4,0,1,23,2,0,1,0,3,1,7,6,1,40,16050,81200,0,357,0,1,1,6916.5
3,6,1,1,0,0,3,4,0,1,19,2,0,1,0,3,1,7,6,0,8,150,81200,0,357,0,1,1,6916.5
3,6,1,2,550,0,1,1,0,1,50,1,1,1,0,3,1,8,6,0,0,24000,24000,0,211,0,2,1,5147.5
3,6,1,0,0,0,0,1,0,1,19,2,0,6,0,4,1,6,6,0,0,0,0,0,0,0,1,1,0
3,6,1,2,600,0,1,1,0,1,27,2,0,1,0,3,0,8,6,1,8,13000,13000,0,114,0,1,1,5177.5
3,6,1,1,0,0,3,3,1,1,32,2,0,2,0,3,1,7,6,2,0,10000,60000,0,334,0,1,1,3848.25
3,6,1,2,1100,0,1,1,0,1,24,2,0,4,2,3,0,8,6,0,5,8000,8000,0,70,0,1,1,5058.75
3,6,0,1,0,0,4,5,3,1,39,0,1,1,0,4,1,7,6,1,32,29000,60000,0,226,0,1,1,3998.25
3,6,1,1,0,0,3,4,0,0,18,2,0,1,0,3,0,6,6,0,0,0,90600,0,400,0,1,1,3023.25
3,6,1,2,1100,0,2,3,1,0,51,0,1,1,0,3,1,7,6,1,37,27000,65000,0,372,0,1,1,5457.5
3,6,1,2,1100,0,2,3,0,1,19,2,0,1,0,3,1,7,6,1,15,3000,65000,0,372,0,1,1,5457.5
3,6,1,2,1500,0,3,3,0,0,18,2,0,1,0,5,1,5,5,0,0,0,0,0,1,0,1,1,7705.75
3,6,1,2,2000,0,2,3,0,0,23,0,1,8,0,3,1,8,6,1,40,32000,54000,0,314,0,1,1,2838.25
3,6,1,1,0,1,3,5,0,0,20,2,0,7,0,4,1,6,6,0,0,0,29100,0,107,0,1,1,2758.25
3,6,1,1,0,0,1,1,0,0,37,2,0,1,0,3,1,7,6,0,0,16800,16800,0,146,0,1,1,5536.25
3,6,1,2,970,1,1,4,2,0,51,0,2,7,0,3,1,7,6,0,0,8560,54560,0,235,0,1,1,7886.75
3,6,1,2,800,0,2,6,0,0,18,2,0,6,0,5,0,6,6,0,0,0,30800,0,100,0,1,1,5099.5
3,6,1,0,0,0,0,1,0,1,42,2,0,1,0,4,1,2,4,0,0,11100,0,3900,97,0,1,1,0
3,6,1,0,0,0,0,1,0,0,18,2,0,1,0,3,1,6,6,0,0,0,0,0,0,0,1,1,0
3,6,1,1,0,0,1,2,1,1,46,1,1,1,0,3,0,6,6,1,48,55000,55000,0,357,0,1,1,2990.75
3,6,1,1,0,0,2,4,2,0,45,0,1,0,2,3,1,7,6,0,15,3300,13400,0,59,0,1,1,2748.25
